TEAM;NO;NAME;POS;AGE;HEIGHT;WEIGHT;COLLEGE;SALARY
Boston Celtics;46;Aron Baynes;C;31;6-10;260;Washington State;4,328,000
Boston Celtics;7;Jaylen Brown;SG;21;6-7;225;California;4,956,480
Boston Celtics;60;Jonathan Gibson;PG;30;6-2;185;New Mexico State;44,495
Boston Celtics;20;Gordon Hayward;SF;28;6-8;226;Butler;29,727,900
Boston Celtics;42;Al Horford;PF;31;6-10;245;Florida;27,734,406
Boston Celtics;11;Kyrie Irving;PG;26;6-3;193;Duke;18,868,626
Boston Celtics;8;Shane Larkin;PG;25;5-11;175;Miami (FL);1,471,382
Boston Celtics;55;Greg Monroe;C;27;6-11;265;Georgetown;5,000,000
Boston Celtics;13;Marcus Morris;PF;28;6-9;235;Kansas;5,000,000
Boston Celtics;28;Abdel Nader;SF;24;6-6;230;Iowa State;1,167,333
Boston Celtics;37;Semi Ojeleye;PF;23;6-7;235;SMU;1,291,892
Boston Celtics;12;Terry Rozier;PG;24;6-2;190;Louisville;1,988,520
Boston Celtics;36;Marcus Smart;PG;24;6-4;220;Oklahoma State;4,538,020
Boston Celtics;0;Jayson Tatum;SF;20;6-8;205;Duke;5,645,400
Boston Celtics;27;Daniel Theis;PF;26;6-9;243;;815,615
Boston Celtics;30;Guerschon Yabusele;PF;22;6-8;260;;2,247,480
Brooklyn Nets;13;Quincy Acy;SF;27;6-7;240;Baylor;1,709,538
Brooklyn Nets;31;Jarrett Allen;C;19;6-11;234;Texas;1,713,720
Brooklyn Nets;9;DeMarre Carroll;SF;31;6-8;215;Missouri;14,800,000
Brooklyn Nets;33;Allen Crabbe;SG;26;6-6;215;California;19,332,500
Brooklyn Nets;44;Dante Cunningham;SF;30;6-8;230;Villanova;2,300,000
Brooklyn Nets;8;Spencer Dinwiddie;PG;25;6-6;200;Colorado;1,524,305
Brooklyn Nets;14;Milton Doyle;SG;24;6-4;180;Loyola (IL);
Brooklyn Nets;12;Joe Harris;SF;26;6-6;219;Virginia;1,524,305
Brooklyn Nets;24;Rondae Hollis-Jefferson;SF;23;6-7;214;Arizona;1,471,382
Brooklyn Nets;22;Caris LeVert;SG;23;6-7;203;Michigan;1,632,480
Brooklyn Nets;7;Jeremy Lin;PG;29;6-3;200;Harvard;12,000,000
Brooklyn Nets;20;Timofey Mozgov;C;31;7-1;275;;15,280,000
Brooklyn Nets;4;Jahlil Okafor;C;22;6-11;260;Duke;4,995,120
Brooklyn Nets;1;D'Angelo Russell;PG;22;6-5;195;Ohio State;5,562,360
Brooklyn Nets;2;Nik Stauskas;SG;24;6-6;205;Michigan;3,807,147
Brooklyn Nets;0;James Webb III;SF;24;6-9;202;Boise State;
Brooklyn Nets;15;Isaiah Whitehead;SG;23;6-4;213;Seton Hall;1,312,611
New York Knicks;31;Ron Baker;SG;25;6-4;220;Wichita State;4,328,000
New York Knicks;8;Michael Beasley;SF;29;6-9;235;Kansas State;1,471,382
New York Knicks;23;Trey Burke;PG;25;6-1;191;Michigan;784,160
New York Knicks;21;Damyean Dotson;SG;23;6-5;210;Houston;1,100,000
New York Knicks;3;Tim Hardaway Jr.;SF;26;6-6;205;Michigan;16,500,000
New York Knicks;4;Isaiah Hicks;PF;23;6-9;242;North Carolina;
New York Knicks;55;Jarrett Jack;PG;34;6-3;200;Georgia Tech;1,471,382
New York Knicks;00;Enes Kanter;C;25;6-11;245;Kentucky;17,884,176
New York Knicks;2;Luke Kornet;PF;22;7-1;250;Vanderbilt;
New York Knicks;5;Courtney Lee;SG;32;6-5;200;Western Kentucky;11,747,890
New York Knicks;1;Emmanuel Mudiay;PG;22;6-5;200;;3,381,480
New York Knicks;13;Joakim Noah;C;33;6-11;230;Florida;17,765,000
New York Knicks;11;Frank Ntilikina;PG;19;6-5;190;;3,501,120
New York Knicks;9;Kyle O'Quinn;C;28;6-10;250;Norfolk State;4,087,500
New York Knicks;6;Kristaps Porzingis;PF;22;7-3;240;;4,503,600
New York Knicks;42;Lance Thomas;SF;29;6-8;235;Duke;6,655,325
